account_id,customer_id,product,balance,interest_rate,open_date,status
ACC00001,CUST0001,Personal Loan,28940.86,2.55,2020-05-08,Active
ACC00002,CUST0001,Personal Loan,17711.79,3.28,2019-04-01,Active
ACC00003,CUST0002,Credit Card,135431.43,5.31,2016-06-05,Active
ACC00004,CUST0002,Current Account,75943.67,5.29,2017-04-25,Active
ACC00005,CUST0003,Current Account,37895.04,1.29,2018-08-25,Active
ACC00006,CUST0003,Current Account,220402.34,4.28,2018-07-24,Active
ACC00007,CUST0004,Savings Account,65643.16,1.6,2019-09-01,Active
ACC00008,CUST0005,Personal Loan,240577.42,2.28,2020-07-19,Active
ACC00009,CUST0005,Credit Card,157466.92,3.03,2021-06-24,Active
ACC00010,CUST0005,Savings Account,231224.53,4.56,2017-03-13,Active
ACC00011,CUST0006,Mortgage,228336.86,1.91,2021-04-19,Active
ACC00012,CUST0006,Investment Fund,49141.05,2.38,2019-09-03,Active
ACC00013,CUST0006,Mortgage,160311.52,1.65,2018-06-10,Active
ACC00014,CUST0007,Mortgage,245413.39,3.73,2019-10-25,Active
ACC00015,CUST0008,Savings Account,228782.24,4.52,2018-11-11,Active
ACC00016,CUST0008,Personal Loan,34636.43,3.12,2016-04-02,Active
ACC00017,CUST0009,Personal Loan,97484.68,3.67,2019-12-19,Active
ACC00018,CUST0010,Credit Card,235742.66,0.7,2020-11-10,Active
ACC00019,CUST0011,Mortgage,3109.99,5.33,2016-03-16,Active
ACC00020,CUST0011,Personal Loan,196560.75,2.09,2017-11-30,Active
ACC00021,CUST0011,Personal Loan,143338.82,0.95,2015-09-01,Active
ACC00022,CUST0012,Investment Fund,203570.21,2.03,2018-03-03,Active
ACC00023,CUST0013,Personal Loan,243315.48,1.57,2018-02-06,Active
ACC00024,CUST0013,Current Account,61409.92,1.49,2016-10-27,Active
ACC00025,CUST0014,Personal Loan,32515.24,0.64,2017-08-12,Active
ACC00026,CUST0014,Personal Loan,92029.02,2.9,2017-09-19,Active
ACC00027,CUST0014,Savings Account,210742.07,3.38,2017-10-09,Active
ACC00028,CUST0015,Mortgage,168948.88,0.76,2017-02-09,Active
ACC00029,CUST0016,Savings Account,221429.57,4.44,2016-09-03,Active
ACC00030,CUST0016,Credit Card,66533.36,0.65,2015-06-11,Active
ACC00031,CUST0016,Mortgage,245127.36,4.02,2015-06-21,Active
ACC00032,CUST0017,Personal Loan,215939.64,3.88,2018-08-04,Active
ACC00033,CUST0018,Credit Card,71486.3,0.19,2021-05-01,Active
ACC00034,CUST0018,Current Account,30248.99,3.16,2021-01-12,Active
ACC00035,CUST0018,Mortgage,119168.34,4.54,2018-08-08,Active
ACC00036,CUST0019,Credit Card,227250.42,4.1,2021-09-10,Active
ACC00037,CUST0019,Mortgage,237803.74,3.91,2017-07-09,Active
ACC00038,CUST0019,Investment Fund,63004.88,0.02,2019-09-22,Active
ACC00039,CUST0020,Personal Loan,235872.53,1.39,2017-06-04,Active
ACC00040,CUST0020,Current Account,175142.22,3.22,2017-09-23,Active
ACC00041,CUST0020,Investment Fund,60023.99,1.57,2020-02-17,Active
ACC00042,CUST0021,Current Account,10208.66,2.7,2019-09-10,Active
ACC00043,CUST0022,Current Account,129601.62,3.75,2020-06-01,Active
ACC00044,CUST0022,Savings Account,10239.0,3.05,2019-10-19,Active
ACC00045,CUST0023,Personal Loan,10577.81,5.26,2017-01-11,Active
ACC00046,CUST0023,Personal Loan,15589.19,2.17,2021-05-26,Active
ACC00047,CUST0023,Savings Account,155880.31,1.51,2017-03-09,Active
ACC00048,CUST0024,Investment Fund,239022.73,4.21,2017-04-24,Active
ACC00049,CUST0025,Mortgage,139022.44,3.66,2020-01-21,Active
ACC00050,CUST0025,Investment Fund,125474.05,3.84,2018-04-08,Active
ACC00051,CUST0026,Mortgage,158123.63,1.66,2015-03-22,Active
ACC00052,CUST0026,Personal Loan,186043.82,4.09,2017-08-07,Active
ACC00053,CUST0026,Mortgage,175830.51,0.28,2018-11-23,Active
ACC00054,CUST0027,Personal Loan,11228.12,2.37,2020-08-30,Active
ACC00055,CUST0028,Current Account,208837.84,4.12,2019-05-29,Active
ACC00056,CUST0029,Investment Fund,213287.59,3.58,2016-12-06,Active
ACC00057,CUST0029,Mortgage,14533.8,0.1,2019-09-15,Active
ACC00058,CUST0029,Credit Card,26496.95,2.97,2021-09-12,Active
ACC00059,CUST0030,Personal Loan,47749.64,2.39,2021-04-30,Active
ACC00060,CUST0031,Credit Card,17899.3,2.95,2016-07-17,Active
ACC00061,CUST0031,Current Account,138374.7,5.31,2016-05-02,Active
ACC00062,CUST0032,Personal Loan,125409.97,2.14,2016-02-28,Active
ACC00063,CUST0032,Mortgage,2770.49,3.26,2018-12-05,Active
ACC00064,CUST0033,Savings Account,149928.06,3.93,2019-05-30,Active
ACC00065,CUST0033,Mortgage,225099.36,0.12,2021-10-14,Active
ACC00066,CUST0033,Mortgage,209179.57,3.36,2017-11-06,Active
ACC00067,CUST0034,Credit Card,234340.33,3.57,2017-10-21,Active
ACC00068,CUST0035,Mortgage,16727.17,4.13,2020-12-21,Dormant
ACC00069,CUST0036,Investment Fund,206189.6,0.74,2017-02-27,Active
ACC00070,CUST0036,Credit Card,75037.05,0.42,2019-06-12,Active
ACC00071,CUST0036,Credit Card,106831.85,0.59,2020-02-28,Active
ACC00072,CUST0037,Mortgage,208141.52,1.72,2021-11-26,Active
ACC00073,CUST0037,Personal Loan,2346.1,2.17,2015-12-13,Dormant
ACC00074,CUST0038,Investment Fund,178868.41,0.73,2019-04-23,Active
ACC00075,CUST0039,Mortgage,89026.9,5.27,2020-09-04,Active
ACC00076,CUST0039,Mortgage,210546.74,3.66,2016-07-13,Active
ACC00077,CUST0039,Savings Account,138326.84,3.86,2017-08-14,Active
