customer_id,name,segment,age,region,branch,join_date
CUST0001,Customer 1,Premium,42,West,Frankfurt,2019-12-01
CUST0002,Customer 2,Premium,33,South,Munich-Mitte,2019-02-08
CUST0003,Customer 3,Retail,51,West,Frankfurt,2016-06-07
CUST0004,Customer 4,Premium,44,South,Munich-South,2017-07-27
CUST0005,Customer 5,Student,27,South,Augsburg,2019-11-30
CUST0006,Customer 6,Retail,39,Central,Mannheim,2015-12-29
CUST0007,Customer 7,Business,48,North,Hamburg-Nord,2021-06-11
CUST0008,Customer 8,Retail,53,East,Berlin-East,2019-08-21
CUST0009,Customer 9,Retail,52,East,Berlin-East,2016-02-08
CUST0010,Customer 10,Student,56,South,Munich-Mitte,2017-11-29
CUST0011,Customer 11,Premium,31,South,Augsburg,2016-12-19
CUST0012,Customer 12,Premium,29,Central,Stuttgart,2020-09-09
CUST0013,Customer 13,Student,28,North,Bremen-City,2017-03-22
CUST0014,Customer 14,Retail,45,North,Hamburg-Mitte,2018-06-13
CUST0015,Customer 15,Student,18,Central,Nuremberg,2020-05-25
CUST0016,Customer 16,Premium,43,Central,Stuttgart,2014-09-27
CUST0017,Customer 17,Business,46,South,Augsburg,2017-05-22
CUST0018,Customer 18,Student,40,South,Munich-Mitte,2020-06-14
CUST0019,Customer 19,Premium,67,Central,Mannheim,2017-05-05
CUST0020,Customer 20,Retail,24,North,Hamburg-Mitte,2018-08-08
CUST0021,Customer 21,Student,29,South,Munich-Mitte,2019-08-05
CUST0022,Customer 22,Student,38,Central,Stuttgart,2019-01-12
CUST0023,Customer 23,Business,72,North,Hamburg-Mitte,2014-04-25
CUST0024,Customer 24,Business,50,North,Hamburg-Mitte,2015-05-10
CUST0025,Customer 25,Premium,39,North,Hamburg-Nord,2017-06-12
CUST0026,Customer 26,Student,70,East,Berlin-East,2017-04-11
CUST0027,Customer 27,Retail,52,East,Berlin-Mitte,2021-07-02
CUST0028,Customer 28,Student,64,East,Berlin-East,2019-05-05
CUST0029,Customer 29,Premium,72,East,Dresden,2013-11-06
CUST0030,Customer 30,Business,24,East,Berlin-Mitte,2013-12-10
CUST0031,Customer 31,Business,42,South,Munich-South,2021-01-08
CUST0032,Customer 32,Business,44,West,Cologne-City,2016-04-12
CUST0033,Customer 33,Business,61,East,Berlin-East,2015-12-10
CUST0034,Customer 34,Business,75,South,Munich-South,2018-08-29
CUST0035,Customer 35,Premium,60,West,Dusseldorf,2017-09-02
CUST0036,Customer 36,Student,73,Central,Stuttgart,2017-08-30
CUST0037,Customer 37,Premium,74,East,Berlin-East,2021-11-15
CUST0038,Customer 38,Business,62,East,Berlin-Mitte,2014-06-19
CUST0039,Customer 39,Business,68,South,Augsburg,2017-04-01
CUST0040,Customer 40,Business,44,South,Augsburg,2017-06-09
CUST0041,Customer 41,Premium,25,North,Hamburg-Mitte,2016-01-25
CUST0042,Customer 42,Premium,61,East,Dresden,2016-12-09
CUST0043,Customer 43,Student,34,South,Munich-South,2015-08-21
CUST0044,Customer 44,Business,58,Central,Stuttgart,2021-09-09
CUST0045,Customer 45,Business,69,North,Hamburg-Mitte,2015-05-31
