customer_id,segment,age,age_group,region,branch,join_date,tenure_days,tenure_band
CUST0001,Premium,42,41-60,West,Frankfurt,2019-12-01,1492,Loyal (3yr+)
CUST0002,Premium,33,26-40,South,Munich-Mitte,2019-02-08,1788,Loyal (3yr+)
CUST0003,Retail,51,41-60,West,Frankfurt,2016-06-07,2764,Loyal (3yr+)
CUST0004,Premium,44,41-60,South,Munich-South,2017-07-27,2349,Loyal (3yr+)
CUST0005,Student,27,26-40,South,Augsburg,2019-11-30,1493,Loyal (3yr+)
CUST0006,Retail,39,26-40,Central,Mannheim,2015-12-29,2925,Loyal (3yr+)
CUST0007,Business,48,41-60,North,Hamburg-Nord,2021-06-11,934,Growing (1-3yr)
CUST0008,Retail,53,41-60,East,Berlin-East,2019-08-21,1594,Loyal (3yr+)
CUST0009,Retail,52,41-60,East,Berlin-East,2016-02-08,2884,Loyal (3yr+)
CUST0010,Student,56,41-60,South,Munich-Mitte,2017-11-29,2224,Loyal (3yr+)
CUST0011,Premium,31,26-40,South,Augsburg,2016-12-19,2569,Loyal (3yr+)
CUST0012,Premium,29,26-40,Central,Stuttgart,2020-09-09,1209,Loyal (3yr+)
CUST0013,Student,28,26-40,North,Bremen-City,2017-03-22,2476,Loyal (3yr+)
CUST0014,Retail,45,41-60,North,Hamburg-Mitte,2018-06-13,2028,Loyal (3yr+)
CUST0015,Student,18,18-25,Central,Nuremberg,2020-05-25,1316,Loyal (3yr+)
CUST0016,Premium,43,41-60,Central,Stuttgart,2014-09-27,3383,Loyal (3yr+)
CUST0017,Business,46,41-60,South,Augsburg,2017-05-22,2415,Loyal (3yr+)
CUST0018,Student,40,26-40,South,Munich-Mitte,2020-06-14,1296,Loyal (3yr+)
CUST0019,Premium,67,60+,Central,Mannheim,2017-05-05,2432,Loyal (3yr+)
CUST0020,Retail,24,18-25,North,Hamburg-Mitte,2018-08-08,1972,Loyal (3yr+)
CUST0021,Student,29,26-40,South,Munich-Mitte,2019-08-05,1610,Loyal (3yr+)
CUST0022,Student,38,26-40,Central,Stuttgart,2019-01-12,1815,Loyal (3yr+)
