date,year,quarter,month,month_name,week,day_of_week,day_name,is_weekend
2022-01-01,2022,Q1,1,January,52,6,Saturday,Yes
2022-01-02,2022,Q1,1,January,52,7,Sunday,Yes
2022-01-03,2022,Q1,1,January,1,1,Monday,No
2022-01-04,2022,Q1,1,January,1,2,Tuesday,No
2022-01-05,2022,Q1,1,January,1,3,Wednesday,No
2022-01-06,2022,Q1,1,January,1,4,Thursday,No
2022-01-07,2022,Q1,1,January,1,5,Friday,No
2022-01-08,2022,Q1,1,January,1,6,Saturday,Yes
2022-01-09,2022,Q1,1,January,1,7,Sunday,Yes
2022-01-10,2022,Q1,1,January,2,1,Monday,No
2022-01-11,2022,Q1,1,January,2,2,Tuesday,No
2022-01-12,2022,Q1,1,January,2,3,Wednesday,No
2022-01-13,2022,Q1,1,January,2,4,Thursday,No
2022-01-14,2022,Q1,1,January,2,5,Friday,No
2022-01-15,2022,Q1,1,January,2,6,Saturday,Yes
2022-01-16,2022,Q1,1,January,2,7,Sunday,Yes
2022-01-17,2022,Q1,1,January,3,1,Monday,No
2022-01-18,2022,Q1,1,January,3,2,Tuesday,No
2022-01-19,2022,Q1,1,January,3,3,Wednesday,No
2022-01-20,2022,Q1,1,January,3,4,Thursday,No
2022-01-21,2022,Q1,1,January,3,5,Friday,No
2022-01-22,2022,Q1,1,January,3,6,Saturday,Yes
2022-01-23,2022,Q1,1,January,3,7,Sunday,Yes
2022-01-24,2022,Q1,1,January,4,1,Monday,No
2022-01-25,2022,Q1,1,January,4,2,Tuesday,No
2022-01-26,2022,Q1,1,January,4,3,Wednesday,No
2022-01-27,2022,Q1,1,January,4,4,Thursday,No
2022-01-28,2022,Q1,1,January,4,5,Friday,No
2022-01-29,2022,Q1,1,January,4,6,Saturday,Yes
2022-01-30,2022,Q1,1,January,4,7,Sunday,Yes
2022-01-31,2022,Q1,1,January,5,1,Monday,No
2022-02-01,2022,Q1,2,February,5,2,Tuesday,No
2022-02-02,2022,Q1,2,February,5,3,Wednesday,No
2022-02-03,2022,Q1,2,February,5,4,Thursday,No
2022-02-04,2022,Q1,2,February,5,5,Friday,No
2022-02-05,2022,Q1,2,February,5,6,Saturday,Yes
2022-02-06,2022,Q1,2,February,5,7,Sunday,Yes
2022-02-07,2022,Q1,2,February,6,1,Monday,No
2022-02-08,2022,Q1,2,February,6,2,Tuesday,No
2022-02-09,2022,Q1,2,February,6,3,Wednesday,No
2022-02-10,2022,Q1,2,February,6,4,Thursday,No
2022-02-11,2022,Q1,2,February,6,5,Friday,No
2022-02-12,2022,Q1,2,February,6,6,Saturday,Yes
2022-02-13,2022,Q1,2,February,6,7,Sunday,Yes
2022-02-14,2022,Q1,2,February,7,1,Monday,No
2022-02-15,2022,Q1,2,February,7,2,Tuesday,No
2022-02-16,2022,Q1,2,February,7,3,Wednesday,No
2022-02-17,2022,Q1,2,February,7,4,Thursday,No
2022-02-18,2022,Q1,2,February,7,5,Friday,No
2022-02-19,2022,Q1,2,February,7,6,Saturday,Yes
2022-02-20,2022,Q1,2,February,7,7,Sunday,Yes
2022-02-21,2022,Q1,2,February,8,1,Monday,No
2022-02-22,2022,Q1,2,February,8,2,Tuesday,No
2022-02-23,2022,Q1,2,February,8,3,Wednesday,No
2022-02-24,2022,Q1,2,February,8,4,Thursday,No
2022-02-25,2022,Q1,2,February,8,5,Friday,No
2022-02-26,2022,Q1,2,February,8,6,Saturday,Yes
2022-02-27,2022,Q1,2,February,8,7,Sunday,Yes
2022-02-28,2022,Q1,2,February,9,1,Monday,No
2022-03-01,2022,Q1,3,March,9,2,Tuesday,No
2022-03-02,2022,Q1,3,March,9,3,Wednesday,No
2022-03-03,2022,Q1,3,March,9,4,Thursday,No
2022-03-04,2022,Q1,3,March,9,5,Friday,No
2022-03-05,2022,Q1,3,March,9,6,Saturday,Yes
2022-03-06,2022,Q1,3,March,9,7,Sunday,Yes
2022-03-07,2022,Q1,3,March,10,1,Monday,No
2022-03-08,2022,Q1,3,March,10,2,Tuesday,No
2022-03-09,2022,Q1,3,March,10,3,Wednesday,No
2022-03-10,2022,Q1,3,March,10,4,Thursday,No
2022-03-11,2022,Q1,3,March,10,5,Friday,No
2022-03-12,2022,Q1,3,March,10,6,Saturday,Yes
2022-03-13,2022,Q1,3,March,10,7,Sunday,Yes
2022-03-14,2022,Q1,3,March,11,1,Monday,No
2022-03-15,2022,Q1,3,March,11,2,Tuesday,No
2022-03-16,2022,Q1,3,March,11,3,Wednesday,No
2022-03-17,2022,Q1,3,March,11,4,Thursday,No
2022-03-18,2022,Q1,3,March,11,5,Friday,No
2022-03-19,2022,Q1,3,March,11,6,Saturday,Yes
2022-03-20,2022,Q1,3,March,11,7,Sunday,Yes
